supplier_id,supplier_name,product_id,lead_time,supplier_rating
SUP2693,Mccarthy-Anderson,P7037,15,2.9
SUP2694,"Adams, Yang and Wolf",P8759,10,4.0
SUP2695,"Watson, Anderson and Stein",P2620,4,2.8
SUP2696,Pruitt-Cruz,P5950,16,4.2
SUP2697,Berry and Sons,P5420,15,4.1
SUP2698,Schwartz-Lopez,P4617,7,2.9
SUP2699,Jones-Acevedo,P9117,18,3.4
SUP2700,"Garcia, Jackson and Coleman",P7633,7,3.0
SUP2701,Sanchez-Carr,P1558,19,3.5
SUP2702,Massey-Silva,P1823,18,2.5
SUP2703,Hall and Sons,P5343,11,2.9
SUP2704,Clayton-Morris,P6063,18,2.6
SUP2705,"Summers, Adkins and Brown",P7120,5,2.8
SUP2706,Jackson-Boyd,P2137,14,2.9
SUP2707,Kline-Pierce,P8064,14,3.2
SUP2708,Pham LLC,P5182,8,3.4
SUP2709,"Skinner, Glass and Mendez",P9503,18,3.6
SUP2710,Moreno-Rogers,P1986,13,4.6
SUP2711,Bryant-Bishop,P3150,11,4.7
SUP2712,"Turner, Velez and Smith",P9568,20,2.8
SUP2713,Foster Ltd,P5663,9,4.1
SUP2714,Harris Group,P3410,17,4.5
SUP2715,"Robinson, Vega and Fuller",P4267,4,5.0
SUP2716,Taylor Group,P9670,4,4.1
SUP2717,Murphy PLC,P4795,12,2.7
SUP2718,"Blackburn, Brown and Miller",P8545,19,2.9
SUP2719,"Garcia, Thompson and Jenkins",P4628,2,2.6
SUP2720,Chambers Ltd,P4154,19,4.1
SUP2721,Santiago-Hess,P6842,7,3.9
SUP2722,Butler-Doyle,P9697,2,3.0
SUP2723,Taylor-Crane,P5429,20,4.8
SUP2724,Jenkins Ltd,P9841,18,4.6
SUP2725,Hill Ltd,P586,9,2.6
SUP2726,Sanchez and Sons,P1294,4,4.0
SUP2727,Joseph-Williams,P7051,10,2.9
SUP2728,Orr PLC,P616,20,4.6
SUP2729,"Dunn, Martinez and Bradshaw",P109,6,4.1
SUP2730,"Stevens, Williams and Davis",P9321,4,3.2
SUP2731,"Bass, Nichols and Haley",P2534,13,2.7
SUP2732,Tucker Group,P2673,13,3.4
SUP2733,"Scott, Ward and Arnold",P78,11,4.0
SUP2734,Martinez Group,P8607,2,5.0
SUP2735,Bonilla-Drake,P299,9,4.3
SUP2736,Scott-Walker,P1393,4,2.7
SUP2737,Ramirez-Boyer,P2876,17,4.2
SUP2738,Houston LLC,P311,4,4.0
SUP2739,Anderson-Morgan,P8835,16,4.4
SUP2740,Hall-Bryan,P2328,5,3.9
SUP2741,"Johnson, Pope and Thompson",P1030,7,2.9
SUP2742,Ho-Garner,P6637,4,4.4
SUP2743,Hall-King,P2383,20,4.9
SUP2744,"Beard, Brown and Knapp",P4614,14,4.5
SUP2745,Ward-Oconnell,P174,13,4.9
SUP2746,"Wallace, Kirby and Poole",P7824,5,3.9
SUP2747,"Padilla, Small and Bonilla",P3879,11,4.4
SUP2748,Rodriguez LLC,P498,9,3.4
SUP2749,"Leonard, Mann and Berry",P1524,3,5.0
SUP2750,Osborn-Brennan,P7608,19,4.5
SUP2751,Valentine Inc,P8628,3,4.9
SUP2752,Kim-Gutierrez,P4127,15,4.2
SUP2753,"Hayes, Taylor and Bell",P2145,19,2.9
SUP2754,Mckenzie-Munoz,P8242,15,4.2
SUP2755,"Jacobs, Roberts and Wilson",P6147,17,3.1
SUP2756,Salas Group,P9390,11,3.5
SUP2757,Espinoza Ltd,P2406,13,3.7
SUP2758,"Williams, Pitts and Parker",P2373,8,3.4
SUP2759,Mayo-Moore,P7536,7,4.2
SUP2760,Cohen and Sons,P5371,16,4.1
SUP2761,Sherman-Carpenter,P2991,4,2.7
SUP2762,Gibson Inc,P3065,18,2.9
SUP2763,Marks LLC,P977,16,4.0
SUP2764,Ho and Sons,P4722,4,3.6
SUP2765,Williams-Anderson,P91,9,5.0
SUP2766,Fisher PLC,P1109,2,4.7
SUP2767,Richardson-Murray,P5668,2,3.9
SUP2768,Butler LLC,P4982,9,2.5
SUP2769,"Nelson, Franklin and Hall",P9631,2,4.8
SUP2770,Fischer-Smith,P2999,10,2.7
SUP2771,Jarvis-Bell,P6297,10,3.5
SUP2772,Nelson Inc,P3383,17,5.0
SUP2773,Serrano Ltd,P8586,14,3.1
SUP2774,"Shepard, Martinez and Gomez",P775,8,3.2
SUP2775,"Martinez, Murray and Rogers",P7865,11,3.7
SUP2776,Gordon Ltd,P2198,8,4.9
SUP2777,"Hall, Martin and Vincent",P5158,20,2.9
SUP2778,"Chapman, Rodriguez and Smith",P9995,14,3.7
SUP2779,Reed and Sons,P4532,10,3.3
SUP2780,Stone LLC,P6844,19,2.9
SUP2781,"Hodge, Wong and Lopez",P579,19,2.8
SUP2782,Davis-Avila,P52,2,2.9
SUP2783,Harris-Reed,P4350,10,3.2
SUP2784,Mitchell-Mcclain,P4728,3,4.9
SUP2785,"Miller, Orozco and Good",P9099,2,4.4
SUP2786,"Phillips, Sanders and Velez",P5030,16,4.8
SUP2787,"Walton, Campbell and Russell",P8323,17,4.0
SUP2788,Jackson-Myers,P44,7,4.1
SUP2789,"Valencia, Jones and Stewart",P9443,12,4.6
SUP2790,"Young, Roberts and Sullivan",P5663,16,5.0
SUP2791,Elliott-Brown,P2477,20,3.2
SUP2792,"Potter, Smith and Jones",P7001,11,2.6
SUP2793,Lee PLC,P5597,5,2.5
SUP2794,Taylor LLC,P4646,13,2.6
SUP2795,White-Harvey,P1384,8,3.7
SUP2796,Torres and Sons,P9645,15,3.4
SUP2797,Roberts-Carrillo,P9887,14,3.0
SUP2798,Sullivan LLC,P8360,11,4.1
SUP2799,Haney-Taylor,P7779,19,2.9
SUP2800,"Smith, Henry and Brown",P3318,17,4.8
SUP2801,Lopez LLC,P1892,14,4.9
SUP2802,Pace Group,P4188,8,4.2
SUP2803,"Pena, Scott and Jackson",P2243,6,3.2
SUP2804,Reed Group,P4313,2,4.5
SUP2805,Sanford Ltd,P2169,14,3.0
SUP2806,"Evans, Miller and Terrell",P1999,12,4.9
SUP2807,Stewart-Skinner,P3620,2,3.1
SUP2808,"Holmes, Martin and Luna",P1217,17,4.1
SUP2809,Schwartz PLC,P9569,3,3.5
SUP2810,Ayala PLC,P787,10,5.0
SUP2811,Ruiz-Phillips,P8333,3,4.1
SUP2812,Baker-Richardson,P5465,5,5.0
SUP2813,"West, Freeman and Griffin",P128,7,3.6
SUP2814,"Odonnell, Hernandez and Morrison",P3759,17,2.8
SUP2815,Schultz-Pearson,P97,9,3.5
SUP2816,Terrell-Davis,P2001,8,4.0
SUP2817,Nguyen Ltd,P6889,3,3.5
SUP2818,Park-Davis,P5149,18,4.7
SUP2819,"Johnson, Clark and Lyons",P2206,8,3.7
SUP2820,Hayden Group,P5627,18,4.6
SUP2821,Goodman-Park,P1739,9,4.6
SUP2822,Morgan Ltd,P7104,5,4.8
SUP2823,"Allen, Garcia and Hernandez",P5036,17,3.9
SUP2824,Deleon Group,P932,16,3.7
SUP2825,Bishop-Richardson,P9885,3,2.8
SUP2826,"Hicks, Lewis and Jimenez",P4553,5,2.9
SUP2827,Richard and Sons,P4942,11,4.1
SUP2828,Sweeney Inc,P1871,3,2.7
SUP2829,Taylor Inc,P7148,20,3.9
SUP2830,Mendez-Mckee,P2014,7,3.4
SUP2831,Davis LLC,P3561,12,3.5
SUP2832,Rivera Inc,P4884,9,3.6
SUP2833,Lyons Group,P6834,16,3.6
SUP2834,Stokes Ltd,P2976,16,3.6
SUP2835,Mathis-Mccullough,P1403,14,2.8
SUP2836,Gross-Stewart,P9205,13,4.3
SUP2837,"Lopez, Matthews and Dunlap",P9218,11,4.7
SUP2838,"Parks, Mitchell and Stark",P8400,11,4.2
SUP2839,"Montgomery, Holt and Luna",P7877,12,3.7
SUP2840,Wagner-Smith,P6643,10,4.2
SUP2841,Ortiz-Allen,P7901,12,4.6
SUP2842,Brown-Santiago,P8771,16,2.7
SUP2843,Allen Group,P9794,19,4.7
SUP2844,Williams LLC,P9958,5,3.4
SUP2845,"Herrera, Johnson and Anderson",P9071,2,3.7
SUP2846,Griffith and Sons,P7977,9,4.1
SUP2847,Smith Group,P4152,19,4.6
SUP2848,"Williams, Kelly and Morales",P6697,20,4.8
SUP2849,Ayala-Owen,P3456,11,4.5
SUP2850,Holmes-Baldwin,P5240,6,2.6
SUP2851,Bartlett Inc,P8508,5,3.6
SUP2852,"Frederick, Morris and Green",P5999,9,5.0
SUP2853,"Floyd, Ellison and Weber",P3767,19,5.0
SUP2854,"Cole, Myers and Peterson",P6226,4,4.1
SUP2855,Trujillo-Johnson,P1988,20,3.6
SUP2856,Cole-Williams,P7919,17,3.9
SUP2857,"Lambert, Martin and Morris",P4300,9,3.0
SUP2858,Patterson and Sons,P8358,13,2.7
SUP2859,Garza-Cain,P8603,13,4.9
SUP2860,Kramer PLC,P4967,4,3.9
SUP2861,Pope-Villarreal,P2137,20,4.6
SUP2862,Cole-White,P6668,12,4.6
SUP2863,Vasquez and Sons,P2627,19,2.5
SUP2864,Rice Inc,P882,20,4.3
SUP2865,Patterson-Love,P9159,11,3.6
SUP2866,Yu Inc,P4424,2,4.6
SUP2867,"Allison, Sanchez and Swanson",P6612,3,3.6
SUP2868,Pennington LLC,P2076,10,3.2
SUP2869,"Weber, Foley and Bailey",P3207,9,4.5
SUP2870,"Jones, Peterson and Mcknight",P9346,17,3.9
SUP2871,"Guerrero, Johnson and Hunt",P4398,7,3.5
SUP2872,Wallace-Strong,P7282,4,3.0
SUP2873,"Cooper, Ortiz and Dunlap",P4410,14,4.9
SUP2874,Sanchez LLC,P2584,13,3.8
SUP2875,"Hamilton, Miller and Adams",P936,16,4.9
SUP2876,Mckinney LLC,P1653,14,3.7
SUP2877,Ortega-Singh,P7310,19,4.0
SUP2878,"Greene, Harding and Grimes",P2021,6,3.3
SUP2879,Oconnell Group,P9043,4,3.0
SUP2880,Sanchez-Smith,P2514,2,4.9
SUP2881,Case-Hall,P6606,6,2.9
SUP2882,Merritt LLC,P5100,5,4.9
SUP2883,"Dixon, Wood and Andrade",P3648,2,3.3
SUP2884,"Gonzales, Kane and Hernandez",P8298,11,2.5
SUP2885,Terrell-Edwards,P171,2,4.8
SUP2886,Frey-Murphy,P8026,14,4.9
SUP2887,Hughes Ltd,P4380,5,3.9
SUP2888,"Daniel, Santiago and Hill",P4952,16,2.9
SUP2889,"Gonzalez, Crane and Boyd",P9639,14,4.9
SUP2890,"Hughes, Frazier and King",P643,7,3.5
SUP2891,Horn-Vasquez,P825,11,3.6
SUP2892,"Johnson, Mueller and Bush",P7499,11,2.8
SUP2893,"Gonzalez, Hill and Thompson",P3711,17,4.3
SUP2894,Smith PLC,P9495,16,4.2
SUP2895,Thompson Group,P6092,15,3.3
SUP2896,"Smith, Olson and Jones",P9790,16,3.7
SUP2897,Montgomery and Sons,P5669,9,4.2
SUP2898,"Davidson, Schroeder and Arroyo",P3705,14,3.1
SUP2899,Palmer and Sons,P4122,17,3.6
SUP2900,"Thompson, Perkins and Parrish",P7502,12,4.6
SUP2901,"Turner, Brown and Walker",P4336,7,4.8
SUP2902,"Mason, Reid and Gardner",P8796,3,5.0
SUP2903,"Cummings, Wheeler and Crane",P8248,11,3.1
SUP2904,Gutierrez-Thompson,P6542,2,5.0
SUP2905,Frey Ltd,P2652,16,4.5
SUP2906,"Norman, Smith and Morrow",P3570,17,4.9
SUP2907,"Scott, Edwards and Lowery",P3652,16,3.7
SUP2908,Park-Williams,P1869,12,4.8
SUP2909,Perry-Conrad,P8670,17,4.8
SUP2910,"Morris, Cox and Moses",P7844,20,4.8
SUP2911,Moore-Graham,P8708,12,4.2
SUP2912,Strong Inc,P9641,2,3.1
SUP2913,Green PLC,P6062,5,3.9
SUP2914,"Castaneda, Mack and Gilmore",P9514,15,3.9
SUP2915,Fisher LLC,P5223,9,3.6
SUP2916,Williams and Sons,P1740,15,2.7
SUP2917,"Martin, Lopez and Gibson",P2742,15,4.0
SUP2918,"Aguilar, James and Rosales",P9073,10,3.9
SUP2919,Williams Inc,P3279,20,3.3
SUP2920,"Thompson, Sanford and Gonzalez",P6230,11,2.6
SUP2921,Wheeler and Sons,P9233,10,4.7
SUP2922,Young PLC,P473,10,4.1
SUP2923,Bennett PLC,P5859,6,3.0
SUP2924,Chandler LLC,P7191,10,3.2
SUP2925,Glass LLC,P8394,4,4.0
SUP2926,Stone-Haas,P5246,3,4.0
SUP2927,Cruz LLC,P451,11,3.0
SUP2928,"White, Howard and Lopez",P3587,3,3.9
SUP2929,"Butler, Price and Harrington",P9644,11,3.3
SUP2930,Knight and Sons,P6099,4,2.5
SUP2931,"Jackson, Peterson and Fisher",P6711,10,4.3
SUP2932,"Anderson, Wise and Griffith",P1720,19,4.4
SUP2933,Conley Group,P1652,11,4.7
SUP2934,Gomez Group,P7237,6,3.0
SUP2935,"Palmer, Friedman and Young",P6582,6,3.7
SUP2936,Johnson Inc,P572,12,4.2
SUP2937,"Thompson, Cervantes and Best",P410,16,2.9
SUP2938,Richard-Hernandez,P7468,5,2.6
SUP2939,Shelton Group,P6,10,3.7
SUP2940,"Black, Mitchell and Taylor",P4739,7,2.9
SUP2941,"Poole, Stanton and Rodriguez",P320,19,2.9
SUP2942,Hall-Merritt,P1819,9,2.6
SUP2943,Reeves LLC,P2157,2,3.2
SUP2944,Washington-Berry,P8434,10,4.6
SUP2945,"Wilson, Thompson and Moreno",P7228,8,4.2
SUP2946,Saunders Group,P7732,16,2.8
SUP2947,Parker-Osborne,P4781,6,4.3
SUP2948,"Rivas, Evans and Ramsey",P6862,8,4.5
SUP2949,"Pittman, Nguyen and Wagner",P6514,3,4.3
SUP2950,Lin Inc,P1828,20,4.3
SUP2951,Davis-Smith,P6721,14,2.8
SUP2952,Rivera Group,P5277,4,4.1
SUP2953,Blackwell-Hoffman,P1884,3,3.2
SUP2954,"Campbell, Beck and Chavez",P3759,9,4.6
SUP2955,Howell Inc,P7880,10,3.7
SUP2956,Goodwin Ltd,P2058,6,3.3
SUP2957,"Jones, Lee and Smith",P2829,11,4.1
SUP2958,Cervantes LLC,P9753,19,4.4
SUP2959,"Roberts, Morris and Lindsey",P6743,17,3.9
SUP2960,Thomas-Beck,P3092,15,3.0
SUP2961,Haas-Johnson,P681,8,3.4
SUP2962,Adams-Clarke,P6019,16,4.0
SUP2963,Jones-Moore,P4791,9,4.4
SUP2964,Roy-Moody,P604,7,4.9
SUP2965,Mclean-Bernard,P63,14,4.0
SUP2966,Wang Ltd,P8742,6,3.1
SUP2967,"Clark, Mcmahon and Rowe",P6417,20,3.1
SUP2968,"Peterson, Cisneros and White",P1937,14,4.2
SUP2969,Bailey-Roberts,P3312,20,2.6
SUP2970,Parrish Ltd,P9172,2,3.7
SUP2971,Huang-Parsons,P8054,11,3.3
SUP2972,"Carlson, Lopez and Moore",P9656,15,3.0
SUP2973,Molina Ltd,P4824,10,4.0
SUP2974,"Graham, Hood and Reed",P7632,13,4.6
SUP2975,"Reed, Webster and Thompson",P2154,16,4.8
SUP2976,Buchanan-Jenkins,P5027,9,4.4
SUP2977,"Robbins, Stewart and Chapman",P5507,12,2.6
SUP2978,Hill Ltd,P9070,9,4.2
SUP2979,"Hendrix, Martinez and Peters",P1801,12,3.2
SUP2980,"Fuller, Perez and Todd",P4879,3,4.2
SUP2981,Fowler-Wilson,P4041,3,3.1
SUP2982,"Brown, Pena and Johnson",P4445,14,3.1
SUP2983,Williams-Peters,P9149,20,4.6
SUP2984,Clark Ltd,P6480,20,2.9
SUP2985,Villarreal-Smith,P8941,11,3.2
SUP2986,Todd Inc,P9133,2,3.6
SUP2987,"Brown, Flores and Oliver",P2192,10,3.9
SUP2988,"Buckley, Moreno and Garcia",P8302,20,3.4
SUP2989,Shelton Ltd,P9405,7,3.8
SUP2990,Garza LLC,P972,20,3.2
SUP2991,"Sheppard, Brown and Higgins",P7555,11,4.8
SUP2992,Booth-Rush,P1165,17,4.0
SUP2993,"Key, Mcmahon and Aguirre",P7160,7,4.3
SUP2994,Lopez LLC,P5057,12,4.7
SUP2995,"Schmidt, Yu and Blair",P9085,3,3.2
SUP2996,King PLC,P1600,17,4.6
SUP2997,"Ruiz, Snow and Torres",P1189,16,4.6
SUP2998,Aguilar-Butler,P4722,6,3.8
SUP2999,"Bauer, Baker and Burch",P2935,8,4.3
SUP3000,"Wallace, Simpson and Anderson",P6693,9,3.8
SUP3001,Berry-Dean,P7291,6,4.3
SUP3002,Turner Group,P7067,3,3.0
SUP3003,"Keller, Burnett and Russell",P5735,10,4.9
SUP3004,Wood and Sons,P7528,9,4.1
SUP3005,Stevens-Gutierrez,P7799,5,3.3
SUP3006,Cox Ltd,P396,4,3.7
SUP3007,Ho-Morris,P6258,19,2.8
SUP3008,Gordon-Knight,P3779,17,3.2
SUP3009,Davis and Sons,P812,13,3.6
SUP3010,"Patel, Shields and Bennett",P2850,13,3.4
SUP3011,Davenport-Beck,P7089,12,2.6
SUP3012,Bates PLC,P3661,3,5.0
SUP3013,"Gonzalez, Mcfarland and Harrison",P6377,16,4.9
SUP3014,"Booth, Crosby and Morris",P8178,8,2.7
SUP3015,"Mendoza, Collier and Padilla",P6187,18,4.8
SUP3016,Adams-Thompson,P1421,9,3.3
SUP3017,"Palmer, Gross and Murphy",P4712,19,3.3
SUP3018,"King, King and Sanchez",P1768,12,4.8
SUP3019,Elliott-Watson,P129,2,4.8
SUP3020,Cervantes Group,P6417,5,3.7
SUP3021,Richards-Fox,P1470,7,3.9
SUP3022,Peters LLC,P9832,10,4.6
SUP3023,"Scott, Robinson and Sullivan",P1510,11,4.8
SUP3024,King-Richardson,P3765,19,3.1
SUP3025,Young PLC,P2756,19,3.4
SUP3026,Hayes-Woods,P8348,6,4.7
SUP3027,Miller-Perez,P6081,13,3.4
SUP3028,"Page, Jenkins and Mercado",P1583,3,4.8
SUP3029,Maxwell-Miller,P7842,6,3.4
SUP3030,"Thompson, Swanson and Richmond",P2803,15,4.1
SUP3031,Harris LLC,P8586,14,4.8
SUP3032,"King, Roberts and Johnson",P55,6,4.3
SUP3033,"Ashley, Brandt and Clark",P3525,5,4.8
SUP3034,"Fuentes, Riggs and Hansen",P9778,16,4.6
SUP3035,Avery PLC,P8505,19,4.7
SUP3036,Cooper-Orozco,P9000,19,4.9
SUP3037,Moss-Collier,P8770,2,4.7
SUP3038,"Fisher, Moore and Blair",P3950,3,4.5
SUP3039,Parker LLC,P8081,4,4.5
SUP3040,Walker-Ruiz,P7831,10,3.2
SUP3041,Roberts-Sampson,P7773,17,3.5
SUP3042,Williams-Fowler,P5084,14,4.1
SUP3043,"Sanchez, Kent and Downs",P2764,4,4.0
SUP3044,Lewis-Collins,P9275,18,2.5
SUP3045,Martin PLC,P5034,10,4.6
SUP3046,Phillips-Nelson,P187,5,4.8
SUP3047,"Pitts, Williamson and Yang",P9261,13,4.9
SUP3048,Clark PLC,P4766,2,4.8
SUP3049,Rice Inc,P1814,6,3.5
SUP3050,Moore-Adkins,P9811,7,3.6
SUP3051,Mccann PLC,P6125,16,4.8
SUP3052,Jordan Ltd,P661,11,5.0
SUP3053,Salazar Group,P4088,12,3.9
SUP3054,"Chaney, Mays and Mccarthy",P8621,17,2.9
SUP3055,"Hickman, Mitchell and Murphy",P4499,5,3.0
SUP3056,Gross Ltd,P8977,20,4.4
SUP3057,"Fox, Silva and Cox",P1369,18,3.7
SUP3058,"Novak, Jones and Bennett",P7727,19,4.6
SUP3059,Williams and Sons,P2427,3,4.0
SUP3060,"Beasley, Morales and Gonzalez",P3836,19,3.9
SUP3061,Crane-Howard,P8976,20,3.5
SUP3062,Hanson Group,P4742,13,4.4
SUP3063,Gonzalez Ltd,P8818,5,3.7
SUP3064,Murphy Ltd,P2577,12,4.8
SUP3065,"Lowery, Wright and Collier",P2932,20,2.7
SUP3066,"Lee, Mercado and Freeman",P4580,14,4.8
SUP3067,Smith Ltd,P9316,15,4.0
SUP3068,Lee-Smith,P4958,3,4.2
SUP3069,Johnson-Williams,P1959,10,2.7
SUP3070,Mcconnell-Baker,P6145,10,4.5
SUP3071,Cruz and Sons,P903,8,3.6
SUP3072,Elliott PLC,P668,14,4.1
SUP3073,"Williams, Salinas and Stone",P27,6,5.0
SUP3074,Adams-Hubbard,P3531,7,4.9
SUP3075,Alvarez Inc,P1269,7,3.9
SUP3076,Cobb and Sons,P3365,16,3.0
SUP3077,Ball-Gilbert,P8787,15,5.0
SUP3078,"Johnson, Moreno and Stewart",P1118,5,3.1
SUP3079,Kennedy Group,P186,11,3.7
SUP3080,"Greene, King and Jordan",P7975,14,4.0
SUP3081,Hicks and Sons,P6921,14,4.2
SUP3082,Miller-Holt,P8626,10,3.4
SUP3083,Maxwell-Becker,P9184,6,2.6
SUP3084,Cox and Sons,P616,5,3.9
SUP3085,West LLC,P4313,16,4.6
SUP3086,"Ward, Ware and Williams",P5951,15,3.6
SUP3087,Mullins-Howell,P765,12,4.6
SUP3088,Reynolds-Harrison,P4547,10,2.7
SUP3089,"Green, Porter and Cunningham",P7074,18,3.6
SUP3090,Walsh-Haley,P1657,20,4.9
SUP3091,"Vasquez, Day and Hinton",P2617,20,2.7
SUP3092,Gonzalez LLC,P7558,18,3.0
SUP3093,"Elliott, White and Monroe",P4710,13,3.2
SUP3094,Rodriguez-Murphy,P2182,13,3.9
SUP3095,Lin-Spencer,P8986,4,3.7
SUP3096,"Bailey, Anderson and Macias",P6198,7,4.2
SUP3097,Jackson PLC,P2127,15,3.3
SUP3098,Murillo-Vega,P3914,3,4.8
SUP3099,Fields-Adams,P6306,16,4.2
SUP3100,Dean-Arnold,P8694,11,3.3
SUP3101,"Roberts, Bauer and Ortiz",P3731,11,3.4
SUP3102,Medina-Parrish,P3514,11,4.4
SUP3103,Brown Ltd,P5840,11,3.6
SUP3104,Williams Ltd,P5041,17,4.5
SUP3105,Jordan and Sons,P6636,12,3.8
SUP3106,Thompson and Sons,P849,4,2.5
SUP3107,Hamilton Inc,P5216,20,3.7
SUP3108,"Carter, Martinez and Garcia",P1064,8,4.1
SUP3109,"Smith, Powell and Walter",P3684,11,5.0
SUP3110,Burns-Cole,P7649,5,2.6
SUP3111,Davis and Sons,P1202,19,3.2
SUP3112,Powell-Cole,P8002,16,3.2
SUP3113,Gonzalez-Barnes,P9964,5,3.6
SUP3114,"Castillo, Allen and Booker",P4532,19,3.9
SUP3115,"Pope, Little and Keith",P2244,15,3.5
SUP3116,"Walker, Mullins and Gonzalez",P4961,2,2.7
SUP3117,Cole-Rodriguez,P1666,16,3.4
SUP3118,Anderson Ltd,P5728,2,3.7
SUP3119,"Vasquez, Cummings and Riddle",P6777,13,2.6
SUP3120,Wilson Ltd,P9771,9,2.7
SUP3121,Smith PLC,P3674,19,3.3
SUP3122,"Collins, Long and Miller",P9862,18,4.9
SUP3123,"Clarke, Rios and Clark",P188,18,3.7
SUP3124,Ramirez-Bates,P8089,6,3.5
SUP3125,Collins PLC,P1942,4,3.7
SUP3126,Nixon-Brown,P6671,6,4.2
SUP3127,"Hanna, Brown and Jackson",P2818,3,4.8
SUP3128,"Roberts, Mitchell and Reese",P6903,10,4.6
SUP3129,Mann and Sons,P3190,9,3.5
SUP3130,"Mcmillan, Glover and Gibson",P5868,11,3.5
SUP3131,"Wilson, Ford and Hurley",P1042,4,3.5
SUP3132,King LLC,P2903,14,4.4
SUP3133,Jackson-Jackson,P1848,17,4.9
SUP3134,Lucas-Ayala,P1333,6,3.2
SUP3135,Lawson-Wood,P8106,5,4.6
SUP3136,Smith-Hardy,P4988,14,4.6
SUP3137,"Adams, Flores and Mccullough",P9714,6,4.8
SUP3138,Macias-Bonilla,P8113,5,3.4
SUP3139,Salazar-Velasquez,P4082,14,3.7
SUP3140,Campbell Group,P3116,15,4.9
SUP3141,"Luna, Ruiz and Gibson",P1677,14,3.6
SUP3142,Elliott Ltd,P5018,20,4.1
SUP3143,Marshall Ltd,P7906,19,3.0
SUP3144,Romero-Wood,P8493,19,4.7
SUP3145,Yang-Rogers,P8375,5,2.8
SUP3146,Oneill PLC,P9346,15,3.0
SUP3147,"Garrett, Woodard and Parker",P3202,12,4.6
SUP3148,"Cabrera, White and Cantrell",P2674,15,4.6
SUP3149,Baldwin-Anderson,P2672,20,3.9
SUP3150,"Sullivan, Pruitt and Bennett",P5626,9,4.2
SUP3151,Anthony-Payne,P5879,9,4.5
SUP3152,"Franklin, Valentine and Cox",P4502,17,4.8
SUP3153,Moody-Davila,P8621,12,4.8
SUP3154,Lane and Sons,P5358,8,3.6
SUP3155,Rose Inc,P4733,18,3.3
SUP3156,Shea Ltd,P4244,20,3.8
SUP3157,Raymond-Norris,P8312,5,3.8
SUP3158,Roberts-Hart,P2335,12,3.8
SUP3159,"Young, Rivera and Hicks",P4809,5,2.7
SUP3160,Ashley-Lewis,P6575,2,3.6
SUP3161,"Robinson, Richardson and Brandt",P6719,18,4.8
SUP3162,Freeman and Sons,P6852,12,3.2
SUP3163,"Good, Donovan and Payne",P8367,17,3.9
SUP3164,"Fletcher, Harris and Mcbride",P8207,15,3.6
SUP3165,"Smith, Williams and Robinson",P2052,19,3.3
SUP3166,"Hernandez, Harris and Cowan",P2028,5,3.3
SUP3167,Parker-Johnson,P3318,6,3.4
SUP3168,Fletcher-Ward,P6175,3,4.7
SUP3169,Gonzalez-Johnston,P6395,20,3.7
SUP3170,Byrd-Mcgee,P495,7,3.2
SUP3171,"Harris, Henry and Johnson",P6057,13,3.2
SUP3172,"Reed, Thomas and Williams",P6425,14,3.8
SUP3173,Haynes-Williams,P5068,16,3.3
SUP3174,Jones PLC,P5161,19,3.2
SUP3175,Adkins Group,P5062,3,4.7
SUP3176,"Sweeney, Deleon and Freeman",P8417,12,3.5
SUP3177,"Holt, Meyers and King",P3343,17,2.6
SUP3178,Anderson Inc,P1938,20,3.8
SUP3179,Wiggins-Mccall,P9805,6,2.9
SUP3180,Pace PLC,P6456,11,4.9
SUP3181,Jones LLC,P2120,6,4.8
SUP3182,"Bolton, Johnson and Townsend",P8589,15,3.9
SUP3183,"Sweeney, Reynolds and Nelson",P5443,17,3.5
SUP3184,"Hudson, Yates and Warren",P286,3,4.6
SUP3185,"Lloyd, Garcia and Carroll",P8280,3,3.8
SUP3186,"Sharp, Mcdonald and Owen",P8959,18,5.0
SUP3187,"Miller, Stuart and Miller",P5915,16,4.0
SUP3188,Reyes and Sons,P2465,18,2.8
SUP3189,Horton Ltd,P5455,11,5.0
SUP3190,"Herrera, Boyd and Knight",P1774,9,3.0
SUP3191,"Stevens, Lee and Hutchinson",P4716,18,3.1
SUP3192,"Maddox, Hubbard and Hoover",P1986,16,3.1
SUP3193,"Rose, Coleman and Raymond",P8871,2,4.0
SUP3194,Black PLC,P334,7,4.9
SUP3195,Castillo PLC,P9496,15,4.8
SUP3196,Turner-Villegas,P7623,17,3.5
SUP3197,Murphy PLC,P9919,16,4.0
SUP3198,Powers-Meza,P3061,20,4.5
SUP3199,Chang-Johnson,P6247,2,3.8
SUP3200,Gordon-Welch,P2913,9,3.2
SUP3201,"Russell, Miller and Schmidt",P2490,10,4.3
SUP3202,Taylor-Russell,P6907,7,2.8
SUP3203,Alexander-Walker,P5347,15,2.5
SUP3204,Zhang Group,P9178,4,3.7
SUP3205,"Hebert, Murphy and Thompson",P6368,14,4.6
SUP3206,Frye PLC,P1353,4,4.5
SUP3207,Mosley Inc,P3909,6,4.7
SUP3208,Pennington PLC,P7546,5,4.7
SUP3209,Bell-Daniels,P8444,18,3.8
SUP3210,Elliott Inc,P8596,11,2.7
SUP3211,"Franklin, Francis and Graham",P6448,3,3.7
SUP3212,Ortiz-Wu,P9945,15,3.5
SUP3213,Hanson PLC,P2418,11,3.5
SUP3214,"Mcdonald, Gilbert and Dyer",P5277,4,3.4
