inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,safety_stock,damaged_stock,last_updated
I2173,P7321,W816,875,14,37,20,2025-07-28
I2174,P1570,W1989,62,18,43,14,2026-03-30
I2175,P5368,W7179,596,27,82,7,2025-10-09
I2176,P1840,W1658,712,97,25,12,2025-08-24
I2177,P5764,W1110,778,140,78,5,2025-06-18
I2178,P7917,W8345,340,132,69,11,2026-05-18
I2179,P2296,W1333,758,50,39,3,2026-05-05
I2180,P453,W8466,960,178,84,0,2026-04-15
I2181,P5215,W8694,415,140,54,9,2025-06-09
I2182,P2634,W5682,608,196,60,15,2025-09-26
I2183,P776,W1630,652,41,22,19,2026-02-26
I2184,P3756,W428,459,153,29,19,2025-11-10
I2185,P1057,W8754,940,140,41,5,2025-10-11
I2186,P3978,W6998,561,176,63,1,2025-08-28
I2187,P6154,W5281,494,186,49,6,2026-05-23
I2188,P8877,W130,838,101,92,0,2025-06-07
I2189,P1039,W532,428,124,34,17,2026-02-13
I2190,P2296,W712,938,153,74,6,2025-08-23
I2191,P2287,W1908,387,41,37,8,2026-02-09
I2192,P3149,W5018,833,168,78,0,2025-09-06
I2193,P4296,W7963,51,13,68,19,2026-05-14
I2194,P7908,W6122,89,127,30,16,2026-02-01
I2195,P2129,W5369,445,177,90,1,2025-06-18
I2196,P3720,W427,36,33,35,10,2025-07-26
I2197,P3163,W8799,357,75,26,5,2025-08-07
I2198,P8455,W7869,867,48,65,4,2026-02-24
I2199,P1558,W968,232,15,74,12,2025-11-21
I2200,P8155,W118,307,151,20,2,2025-06-06
I2201,P1513,W784,16,77,98,1,2026-04-15
I2202,P8532,W3938,419,39,11,15,2025-11-24
I2203,P9653,W501,235,58,100,9,2025-06-04
I2204,P8624,W991,748,99,92,13,2025-07-21
I2205,P8903,W4837,914,11,14,13,2026-04-30
I2206,P1102,W2187,263,99,79,1,2025-08-12
I2207,P4975,W7008,144,43,28,16,2025-07-17
I2208,P1395,W9459,337,127,39,8,2025-11-26
I2209,P1360,W8672,598,39,77,16,2026-04-16
I2210,P7948,W9968,581,196,12,8,2026-04-05
I2211,P9953,W1726,445,11,75,20,2025-06-03
I2212,P1297,W3595,219,35,36,6,2025-06-11
I2213,P2977,W4721,718,34,58,3,2026-04-12
I2214,P9995,W1040,430,35,79,17,2025-07-31
I2215,P84,W958,940,100,15,0,2025-10-21
I2216,P1758,W2761,944,78,14,5,2025-09-13
I2217,P6379,W1860,605,163,59,8,2025-10-07
I2218,P503,W7801,646,168,75,14,2025-10-05
I2219,P3800,W7263,887,128,72,9,2025-09-11
I2220,P3100,W2551,197,57,11,18,2026-05-08
I2221,P126,W3217,195,160,56,2,2025-08-20
I2222,P5999,W1508,496,139,95,10,2025-10-02
I2223,P3530,W4205,109,105,97,0,2025-11-01
I2224,P5093,W6183,589,103,43,1,2025-06-30
I2225,P8921,W4356,970,47,21,15,2026-02-12
I2226,P7267,W5455,995,126,96,4,2026-04-13
I2227,P4081,W2818,594,132,57,5,2025-08-23
I2228,P8438,W6606,860,73,98,20,2026-05-11
I2229,P5616,W1169,405,20,32,12,2026-02-10
I2230,P6340,W1021,615,85,21,14,2025-09-28
I2231,P8819,W5146,76,25,25,0,2026-03-14
I2232,P5740,W3471,933,136,58,19,2026-03-19
I2233,P9101,W7386,597,182,61,7,2025-11-26
I2234,P2997,W9274,108,41,91,20,2026-01-04
I2235,P6314,W7980,542,138,87,13,2026-04-26
I2236,P3157,W1356,464,47,34,14,2026-03-06
I2237,P2828,W6715,196,162,23,5,2026-02-12
I2238,P8806,W4851,421,163,61,14,2025-12-29
I2239,P26,W1036,961,11,85,7,2025-12-03
I2240,P7121,W8707,962,94,13,14,2025-09-08
I2241,P8742,W910,69,132,58,18,2025-06-18
I2242,P1305,W3090,969,140,23,14,2026-02-03
I2243,P4,W5634,835,147,19,16,2025-10-13
I2244,P8186,W2641,290,133,37,3,2026-03-03
I2245,P9380,W9618,889,95,10,2,2025-11-25
I2246,P6293,W1322,547,148,85,6,2026-04-22
I2247,P8336,W2490,44,152,49,18,2025-11-01
I2248,P996,W9408,844,27,92,19,2026-04-20
I2249,P5628,W489,187,132,63,3,2026-04-25
I2250,P652,W6924,872,67,53,18,2025-05-31
I2251,P921,W2569,437,72,68,11,2026-03-03
I2252,P6592,W7872,424,156,56,0,2025-10-09
I2253,P3888,W189,721,171,22,15,2025-06-25
I2254,P9940,W4705,652,112,10,11,2026-02-19
I2255,P5968,W4147,125,144,87,13,2025-05-30
I2256,P3252,W396,123,33,73,0,2025-07-22
I2257,P5818,W4626,647,99,41,15,2026-04-15
I2258,P8843,W7477,497,186,23,7,2025-12-14
I2259,P5625,W4837,487,79,24,15,2026-03-05
I2260,P9098,W1701,47,194,57,16,2025-08-02
I2261,P2599,W9603,412,20,16,2,2026-02-24
I2262,P9762,W9724,911,80,75,14,2025-08-15
I2263,P3577,W653,768,27,58,7,2026-01-19
I2264,P3075,W4885,882,184,5,20,2026-02-03
I2265,P6686,W4786,928,116,55,11,2026-02-12
I2266,P3193,W5335,749,113,56,3,2026-01-08
I2267,P8463,W7937,995,22,40,4,2026-03-12
I2268,P8139,W6050,194,14,85,14,2025-10-08
I2269,P4846,W4837,949,124,52,14,2025-07-22
I2270,P4751,W8980,121,52,53,10,2025-09-12
I2271,P1872,W6302,859,12,85,2,2025-07-07
I2272,P8737,W441,600,16,85,0,2025-07-16
I2273,P811,W9442,683,17,16,14,2025-07-16
I2274,P6959,W6234,239,77,53,17,2026-05-03
I2275,P2794,W5934,202,130,51,11,2025-09-04
I2276,P782,W1486,631,164,36,3,2025-06-12
I2277,P4058,W7605,774,61,37,3,2025-12-16
I2278,P4112,W3367,61,70,85,17,2025-10-26
I2279,P2965,W846,772,38,79,15,2025-12-27
I2280,P1216,W9909,412,168,71,18,2025-06-21
I2281,P9454,W1921,139,151,13,18,2025-11-02
I2282,P9556,W1691,678,39,41,0,2025-09-05
I2283,P8667,W2793,619,73,32,6,2026-05-10
I2284,P7862,W6626,478,130,71,19,2025-10-10
I2285,P5223,W9058,96,178,52,12,2026-04-22
I2286,P5400,W3568,813,57,16,19,2025-12-30
I2287,P9861,W3566,8,119,78,3,2026-03-16
I2288,P4156,W9358,472,57,83,13,2025-12-07
I2289,P9912,W3387,645,184,61,14,2025-10-02
I2290,P2684,W2862,558,54,84,10,2025-09-18
I2291,P9190,W1965,163,28,99,13,2025-11-05
I2292,P9653,W9948,7,111,74,1,2026-04-26
I2293,P7514,W332,568,133,55,19,2026-03-18
I2294,P6752,W9164,231,10,27,9,2026-04-13
I2295,P7696,W5341,792,152,23,17,2025-10-14
I2296,P9885,W9189,653,130,31,12,2025-06-07
I2297,P7621,W4559,171,59,46,13,2026-05-03
I2298,P5534,W2410,994,135,74,10,2025-06-03
I2299,P3893,W2585,973,63,9,18,2025-08-18
I2300,P1834,W1662,736,161,49,18,2025-11-28
I2301,P9650,W2520,994,126,99,6,2026-04-24
I2302,P5565,W8479,929,136,11,17,2026-02-09
I2303,P1663,W6629,986,163,93,13,2026-05-26
I2304,P5495,W5177,109,13,37,2,2025-07-08
I2305,P77,W6622,447,47,29,0,2025-08-07
I2306,P1308,W646,595,70,29,9,2025-12-19
I2307,P1573,W2462,243,125,7,3,2026-03-20
I2308,P3652,W7217,99,16,73,15,2025-08-10
I2309,P8973,W5488,585,126,69,15,2025-12-09
I2310,P7158,W7373,390,104,43,1,2025-07-19
I2311,P7274,W6680,23,122,18,18,2026-05-16
I2312,P5886,W9164,966,185,28,13,2025-10-08
I2313,P1353,W2051,106,32,23,1,2025-07-06
I2314,P8061,W9620,335,144,5,15,2025-08-06
I2315,P1340,W9836,544,111,50,20,2025-12-04
I2316,P4426,W7409,730,199,91,5,2025-10-08
I2317,P1462,W1803,736,52,29,7,2025-07-04
I2318,P9546,W6635,546,195,89,16,2025-09-03
I2319,P863,W2443,497,124,71,18,2025-12-20
I2320,P8469,W6506,282,170,19,3,2025-11-09
I2321,P5502,W119,23,192,41,16,2025-10-17
I2322,P8883,W5364,562,185,83,15,2025-12-18
I2323,P289,W4435,951,149,60,9,2026-05-26
I2324,P5579,W4162,886,144,35,2,2026-02-28
I2325,P2685,W8008,243,121,47,17,2025-10-26
I2326,P6356,W1511,726,59,73,8,2025-10-12
I2327,P8693,W50,880,63,53,10,2025-12-06
I2328,P3071,W189,711,91,32,5,2025-09-10
I2329,P8180,W5212,130,156,6,9,2025-07-06
I2330,P3236,W9547,293,179,70,2,2026-03-07
I2331,P3757,W7823,979,128,33,4,2025-07-12
I2332,P3698,W1779,476,11,29,3,2026-04-18
I2333,P6858,W6327,695,143,51,9,2026-03-17
I2334,P5015,W1027,428,14,19,9,2026-04-21
I2335,P4915,W7234,641,11,45,20,2026-01-15
I2336,P8025,W6060,92,118,17,11,2025-06-01
I2337,P3686,W5069,807,117,73,0,2026-05-18
I2338,P9443,W3998,557,178,64,7,2026-04-30
I2339,P5170,W7125,108,94,60,10,2026-04-22
I2340,P8533,W4447,534,140,32,1,2025-06-14
I2341,P2928,W8560,276,134,36,17,2025-11-02
I2342,P5697,W4957,904,154,76,4,2026-02-27
I2343,P4069,W3294,945,144,87,5,2026-02-20
I2344,P478,W9079,555,75,46,1,2026-01-26
I2345,P9865,W8145,690,43,45,12,2025-10-29
I2346,P2034,W258,537,129,87,8,2026-01-14
I2347,P2168,W6852,743,36,68,9,2026-04-14
I2348,P2985,W4803,329,163,66,0,2025-06-04
I2349,P6742,W4971,803,72,93,8,2025-12-21
I2350,P2961,W9867,501,189,49,15,2025-12-10
I2351,P2823,W2693,198,112,47,8,2026-02-02
I2352,P2075,W5225,377,95,8,14,2025-08-02
I2353,P6832,W7292,606,45,18,14,2026-05-02
I2354,P9879,W2166,220,55,86,19,2026-05-25
I2355,P9050,W2283,818,178,69,7,2025-06-09
I2356,P7339,W2404,534,128,31,3,2025-07-11
I2357,P4532,W883,479,28,71,20,2025-07-29
I2358,P7367,W558,408,192,66,8,2025-09-07
I2359,P2846,W6039,315,34,68,7,2025-07-28
I2360,P2834,W891,137,165,91,13,2026-02-24
I2361,P5442,W7329,767,114,96,20,2025-06-18
I2362,P6590,W5717,675,38,48,8,2025-10-27
I2363,P2344,W9278,588,192,86,6,2025-08-11
I2364,P2172,W7820,267,130,14,10,2026-03-21
I2365,P8083,W7753,504,85,74,11,2026-05-26
I2366,P9297,W2929,579,157,97,18,2026-03-14
I2367,P4028,W4133,240,155,29,4,2025-07-13
I2368,P3219,W4620,87,133,13,16,2025-08-03
I2369,P4853,W1561,9,16,9,0,2025-06-14
I2370,P3504,W8775,88,93,16,5,2025-11-26
I2371,P9438,W3196,919,54,53,19,2026-05-05
I2372,P97,W9128,424,131,71,20,2026-03-25
I2373,P6180,W9032,536,97,41,10,2025-11-17
I2374,P3525,W9541,407,186,76,3,2026-02-26
I2375,P7855,W7713,607,88,97,0,2026-04-07
I2376,P8956,W2405,156,146,25,16,2026-05-20
I2377,P3123,W1433,556,110,31,9,2025-06-11
I2378,P498,W7582,785,133,6,2,2026-02-10
I2379,P8730,W5153,63,195,65,5,2025-11-15
I2380,P7654,W5356,11,121,36,1,2025-12-11
I2381,P1744,W531,838,176,67,6,2025-12-23
I2382,P4146,W6682,131,159,44,20,2025-07-02
I2383,P4464,W8576,534,120,70,10,2025-12-10
I2384,P6894,W2704,523,12,56,3,2025-06-19
I2385,P4804,W4695,480,72,75,7,2025-11-18
I2386,P4762,W6949,172,189,35,3,2025-05-31
I2387,P7977,W1985,788,45,50,17,2025-12-20
I2388,P2306,W3954,175,81,82,11,2025-09-28
I2389,P7841,W8264,962,184,88,16,2025-10-13
I2390,P4395,W8013,418,92,71,20,2025-12-14
I2391,P1373,W4441,576,130,92,16,2025-10-29
I2392,P7607,W3872,990,96,11,12,2025-08-08
I2393,P4760,W8508,144,161,9,1,2025-07-18
I2394,P8034,W2184,377,114,16,2,2026-05-28
I2395,P5211,W9605,133,35,71,4,2025-06-15
I2396,P1239,W9952,463,122,58,7,2025-07-23
I2397,P5507,W9393,492,190,20,15,2026-03-03
I2398,P8185,W1648,253,144,6,14,2025-07-25
I2399,P2108,W2005,792,139,26,18,2025-12-06
I2400,P6707,W5548,544,185,42,15,2026-02-20
I2401,P7515,W9371,19,33,33,9,2025-08-15
I2402,P9698,W761,156,128,6,20,2025-10-13
I2403,P6851,W5574,220,186,42,15,2026-05-04
I2404,P5241,W87,399,175,26,14,2026-02-22
I2405,P603,W8692,705,17,9,9,2026-05-24
I2406,P5651,W5604,589,59,98,3,2025-07-14
I2407,P4220,W7675,728,35,60,20,2025-07-17
I2408,P9143,W6335,360,178,96,5,2026-01-04
I2409,P5956,W7386,263,74,16,17,2026-02-15
I2410,P7108,W4895,31,195,36,8,2025-10-24
I2411,P5258,W2142,438,46,52,12,2025-06-14
I2412,P7861,W5726,303,187,58,8,2025-09-16
I2413,P2577,W8706,932,105,81,13,2025-12-02
I2414,P510,W7542,177,58,46,16,2025-10-24
I2415,P341,W201,907,117,37,1,2025-10-17
I2416,P64,W4197,235,23,95,20,2025-06-03
I2417,P5365,W2080,674,196,33,18,2025-08-19
I2418,P6878,W9875,303,144,16,13,2026-05-25
I2419,P2797,W6388,331,142,78,14,2025-12-12
I2420,P8193,W361,144,83,40,6,2026-05-04
I2421,P7830,W805,795,171,42,1,2025-10-04
I2422,P272,W6181,395,40,85,3,2026-03-16
I2423,P9937,W7692,907,19,31,11,2026-01-11
I2424,P128,W8950,647,131,99,14,2025-09-15
I2425,P2484,W3816,820,69,78,19,2025-07-25
I2426,P1506,W2647,439,20,88,2,2025-09-25
I2427,P8930,W7301,869,163,84,2,2026-03-21
I2428,P2146,W7500,996,168,92,19,2025-09-02
I2429,P8430,W1843,737,80,68,5,2025-12-28
I2430,P7368,W8766,874,130,56,7,2026-05-24
I2431,P7834,W159,971,117,76,3,2026-03-01
I2432,P4912,W292,716,61,23,5,2025-06-15
I2433,P4173,W5642,391,108,18,13,2025-12-15
I2434,P6768,W2504,216,107,13,17,2025-08-27
I2435,P4128,W1896,500,34,51,5,2026-03-13
I2436,P4899,W5623,5,190,73,4,2025-08-08
I2437,P7052,W6640,645,124,41,19,2025-07-14
I2438,P7852,W5179,851,92,98,5,2026-03-22
I2439,P876,W2958,954,84,71,0,2025-08-10
I2440,P7477,W3107,34,60,11,5,2025-12-13
I2441,P7259,W5523,184,92,13,13,2025-09-19
I2442,P3757,W6717,803,112,66,8,2025-09-25
I2443,P4355,W612,733,79,78,8,2026-02-26
I2444,P6999,W3880,209,68,33,17,2025-06-08
I2445,P7427,W8327,890,185,36,12,2025-10-18
I2446,P6980,W7994,273,76,38,16,2025-09-18
I2447,P5549,W758,946,188,75,15,2026-02-26
I2448,P3500,W2287,525,174,42,10,2025-08-19
I2449,P4343,W3720,219,123,43,20,2026-02-08
I2450,P7355,W2573,328,66,39,11,2025-09-12
I2451,P1822,W1242,134,71,77,15,2025-07-04
I2452,P6994,W3021,185,81,82,17,2026-01-06
I2453,P3840,W9489,191,101,38,6,2026-05-12
I2454,P1218,W6983,114,50,83,13,2025-08-13
I2455,P4931,W2714,67,102,41,5,2025-08-13
I2456,P3417,W7600,165,102,18,14,2026-03-04
I2457,P8586,W5041,464,158,59,5,2025-06-02
I2458,P2406,W9082,153,149,86,2,2026-03-13
I2459,P9059,W191,603,95,8,14,2025-07-05
I2460,P464,W6640,399,111,11,14,2026-01-02
I2461,P4290,W9063,578,151,18,2,2026-03-08
I2462,P7467,W6254,789,199,32,2,2026-03-02
I2463,P4699,W764,654,43,68,20,2025-09-17
I2464,P10000,W5348,15,43,29,20,2025-08-25
I2465,P1706,W5166,578,125,92,3,2025-08-07
I2466,P6894,W7381,371,97,26,11,2026-03-26
I2467,P7087,W9169,254,39,88,6,2025-08-25
I2468,P3705,W9262,549,88,35,4,2026-03-19
I2469,P3354,W2120,194,197,48,0,2025-07-27
I2470,P6969,W2048,58,172,17,20,2026-05-01
I2471,P2826,W9202,462,191,80,1,2025-06-12
I2472,P7805,W4994,378,83,55,20,2025-10-09
I2473,P4702,W9210,877,49,77,3,2025-06-02
I2474,P2279,W807,284,68,19,7,2025-11-17
I2475,P1539,W4280,291,15,71,12,2025-09-10
I2476,P7822,W98,128,156,67,15,2025-11-27
I2477,P2322,W3818,149,60,86,9,2026-02-23
I2478,P9030,W222,928,17,24,11,2025-09-18
I2479,P2033,W8943,3,40,82,11,2025-06-29
I2480,P898,W8306,681,182,63,17,2026-03-04
I2481,P9820,W3872,84,163,88,15,2025-12-08
I2482,P8056,W8077,386,21,30,5,2026-04-29
I2483,P2496,W2628,190,147,29,12,2025-09-19
I2484,P4131,W5193,650,65,84,7,2026-02-08
I2485,P3916,W6687,841,123,20,4,2025-09-27
I2486,P574,W8603,692,45,58,1,2025-11-20
I2487,P761,W9169,569,14,17,4,2025-10-24
I2488,P7562,W9844,643,110,9,7,2025-09-30
I2489,P9505,W7305,578,112,6,15,2025-11-13
I2490,P9122,W9505,722,62,73,19,2025-08-02
I2491,P7091,W2510,539,45,72,6,2026-01-08
I2492,P7842,W3502,272,147,53,2,2025-07-11
I2493,P5909,W2892,961,57,94,16,2025-07-30
I2494,P1359,W7236,579,120,31,14,2026-02-26
I2495,P8750,W167,866,46,22,15,2025-08-11
I2496,P369,W5285,743,40,16,13,2026-03-23
I2497,P6871,W8151,450,111,58,19,2025-10-03
I2498,P9411,W9019,551,188,22,1,2025-07-13
I2499,P6938,W6154,663,146,13,10,2025-05-28
I2500,P6133,W3287,694,64,19,2,2025-09-09
I2501,P7986,W3773,892,156,80,2,2025-10-11
I2502,P223,W4517,396,44,15,6,2025-07-08
I2503,P9960,W5814,848,176,70,11,2025-10-29
I2504,P130,W2631,30,106,58,16,2025-10-27
I2505,P2253,W8215,908,59,42,11,2025-08-24
I2506,P9188,W9921,683,18,37,12,2026-03-17
I2507,P2790,W8912,477,197,63,13,2025-05-28
I2508,P5670,W2095,457,124,83,1,2025-07-26
I2509,P2124,W6554,184,188,75,9,2026-05-05
I2510,P2077,W9960,987,125,15,18,2025-10-07
I2511,P2904,W2588,936,84,36,3,2025-09-01
I2512,P2884,W5583,871,109,39,12,2026-04-28
I2513,P5896,W3156,37,133,12,5,2025-10-25
I2514,P754,W5963,335,52,19,0,2025-06-11
I2515,P6545,W2447,775,26,94,19,2025-07-12
I2516,P2225,W3959,699,127,52,11,2025-08-13
I2517,P8347,W112,220,183,89,11,2025-06-03
I2518,P8500,W6885,355,172,33,7,2026-03-05
I2519,P5136,W4771,386,116,49,4,2025-12-11
I2520,P5644,W9480,941,57,21,20,2026-02-17
I2521,P3448,W1845,763,98,24,9,2025-10-08
I2522,P5959,W9336,425,143,40,9,2025-06-26
I2523,P5883,W5928,457,189,9,6,2025-09-10
I2524,P373,W7666,988,36,85,9,2026-02-27
I2525,P1575,W9866,82,89,33,4,2026-05-01
I2526,P9001,W5223,795,145,83,1,2025-12-03
I2527,P9095,W8141,605,183,59,15,2026-03-25
I2528,P1637,W5091,452,192,64,7,2025-08-04
I2529,P8581,W3383,99,105,37,14,2025-11-20
I2530,P5646,W3159,530,103,79,15,2025-10-23
I2531,P7575,W4866,348,17,66,2,2026-02-22
I2532,P5003,W8075,434,79,86,17,2026-05-27
I2533,P3707,W2150,123,13,82,14,2025-08-16
I2534,P3772,W6924,553,22,14,3,2026-01-26
I2535,P8683,W8380,530,76,48,6,2025-09-03
I2536,P7674,W7149,873,16,84,2,2025-07-13
I2537,P7887,W2605,804,32,63,15,2026-01-23
I2538,P6131,W5623,53,166,44,10,2025-10-23
I2539,P6892,W9561,464,47,78,19,2025-08-11
I2540,P3804,W7795,122,160,15,5,2025-07-25
I2541,P6103,W8824,875,58,6,1,2026-03-14
I2542,P9773,W1024,780,109,51,3,2026-04-18
I2543,P847,W5353,142,10,27,11,2026-05-12
I2544,P8910,W9080,800,65,22,6,2025-06-14
I2545,P8121,W8743,456,181,41,0,2026-03-28
I2546,P7479,W850,314,14,22,12,2025-10-19
I2547,P4872,W2031,950,179,70,16,2026-05-14
I2548,P3481,W3712,939,27,6,10,2025-07-15
I2549,P6519,W1169,922,59,91,15,2025-12-28
I2550,P5104,W5198,902,76,40,8,2026-05-19
I2551,P1841,W7006,857,98,32,17,2025-12-03
I2552,P1422,W6560,696,73,87,1,2025-10-12
I2553,P3646,W7830,856,10,74,20,2026-01-12
I2554,P4504,W2992,39,169,12,5,2025-11-28
I2555,P2020,W5195,141,76,13,4,2025-07-29
I2556,P7896,W6686,82,136,97,5,2025-06-09
I2557,P5275,W718,48,73,36,5,2025-09-08
I2558,P6993,W232,811,186,53,10,2026-03-12
I2559,P3707,W225,916,60,86,4,2025-10-30
I2560,P670,W800,813,28,53,8,2025-09-21
I2561,P3200,W9320,510,192,80,19,2026-02-11
I2562,P7031,W8482,380,34,98,6,2026-04-29
I2563,P1911,W1588,471,91,18,5,2026-03-14
I2564,P8226,W3289,931,121,44,6,2025-09-19
I2565,P8775,W255,995,109,34,11,2026-05-15
I2566,P7962,W3601,556,162,56,20,2025-08-25
I2567,P5929,W7401,151,137,24,11,2026-05-22
I2568,P4085,W2159,678,110,95,20,2025-11-12
I2569,P9164,W5557,429,116,95,18,2026-01-18
I2570,P9073,W6726,280,124,25,20,2025-06-08
I2571,P7683,W1110,890,30,53,8,2026-04-01
I2572,P6058,W4256,30,145,80,18,2025-08-24
I2573,P9912,W7743,117,149,62,1,2025-06-17
I2574,P3514,W891,600,117,19,4,2025-06-25
I2575,P2161,W3212,385,173,46,5,2025-11-10
I2576,P8769,W3042,612,83,61,13,2025-05-30
I2577,P4660,W8536,754,143,74,13,2026-04-23
I2578,P2351,W47,122,27,72,0,2026-04-22
I2579,P3361,W7724,754,49,63,19,2026-03-08
I2580,P49,W5038,76,172,33,19,2025-10-11
I2581,P4011,W3951,487,90,63,18,2025-07-08
I2582,P3340,W5290,201,182,53,0,2025-12-13
I2583,P1169,W5718,595,195,73,6,2025-08-25
I2584,P6262,W3305,810,86,20,10,2026-03-15
I2585,P5361,W3927,353,50,74,2,2025-06-02
I2586,P3248,W1359,1,143,66,20,2025-08-14
I2587,P8036,W8782,150,20,68,2,2025-06-08
I2588,P8021,W1800,298,143,96,3,2025-10-29
I2589,P4362,W1342,125,78,88,19,2025-12-09
I2590,P8841,W7566,316,84,24,7,2025-12-01
I2591,P3962,W4200,165,59,51,17,2026-05-01
I2592,P1955,W4859,878,59,74,4,2025-09-13
I2593,P2605,W5990,983,87,16,18,2026-04-15
I2594,P2688,W5224,123,71,21,11,2026-02-05
I2595,P9766,W5906,869,77,33,16,2025-11-04
I2596,P4417,W7826,74,67,97,3,2025-09-30
I2597,P8637,W8937,45,81,48,15,2025-07-02
I2598,P1611,W6076,391,165,78,15,2025-11-22
I2599,P9218,W1130,241,67,94,4,2026-02-08
I2600,P3291,W267,558,161,92,13,2026-01-29
I2601,P8209,W5923,890,157,45,12,2025-09-18
I2602,P5147,W294,746,178,68,12,2025-08-08
I2603,P6583,W7756,998,26,40,7,2026-05-13
I2604,P6722,W6634,263,186,90,16,2025-11-16
I2605,P9184,W8255,215,14,81,13,2026-05-03
I2606,P1505,W3810,621,29,68,3,2025-10-12
I2607,P1479,W8719,201,108,92,1,2025-11-22
I2608,P284,W1397,874,184,48,14,2025-08-08
I2609,P2414,W9206,746,36,27,4,2025-10-18
I2610,P962,W6677,309,56,27,15,2026-01-31
I2611,P4562,W5461,194,53,60,16,2025-06-10
I2612,P6430,W7830,400,189,71,4,2026-02-04
I2613,P2141,W2388,392,115,26,12,2026-05-22
I2614,P7998,W6848,689,107,11,6,2026-05-22
I2615,P3944,W7303,485,119,12,1,2026-04-13
I2616,P9087,W3798,57,198,25,10,2026-03-23
I2617,P645,W7968,829,46,24,17,2025-06-27
I2618,P2468,W7299,815,174,56,3,2026-01-03
I2619,P1525,W529,231,156,23,7,2025-07-09
I2620,P7268,W6564,424,11,86,9,2025-09-15
I2621,P9178,W1325,62,193,30,11,2025-10-09
I2622,P2076,W4348,406,21,21,13,2025-08-13
I2623,P9756,W4459,384,101,73,18,2025-08-31
I2624,P1896,W7285,443,42,85,11,2026-03-19
I2625,P6771,W5144,830,196,81,3,2025-07-11
I2626,P9234,W4077,306,132,42,11,2025-11-05
I2627,P7945,W1662,310,132,63,2,2026-04-18
I2628,P1688,W2693,31,178,46,1,2026-04-26
I2629,P4959,W9706,933,12,89,1,2026-04-11
I2630,P1944,W2737,286,118,89,2,2025-06-25
I2631,P3605,W7302,59,168,34,4,2025-09-05
I2632,P2101,W5961,819,91,12,5,2026-05-17
I2633,P1508,W9561,46,132,68,3,2026-02-19
I2634,P3270,W3136,736,156,41,16,2025-11-05
I2635,P884,W1362,400,185,54,19,2025-07-27
I2636,P7795,W8143,523,192,21,5,2025-09-01
I2637,P3153,W4718,360,146,94,18,2026-01-02
I2638,P5767,W2371,495,20,38,17,2026-03-28
I2639,P1825,W4083,889,84,82,17,2026-02-11
I2640,P2214,W2231,804,65,42,12,2026-04-09
I2641,P6818,W2279,75,185,80,15,2025-11-10
I2642,P2967,W9986,643,37,64,1,2025-12-29
I2643,P6230,W4936,807,49,68,17,2026-01-15
I2644,P4220,W1435,579,24,14,9,2026-03-03
I2645,P5005,W5252,528,107,33,13,2025-08-12
I2646,P4997,W2722,621,108,5,20,2026-05-22
I2647,P2461,W4231,151,43,11,5,2026-01-07
I2648,P9517,W6282,49,117,68,14,2026-05-10
I2649,P5083,W2707,469,39,95,11,2026-05-12
I2650,P3969,W5098,848,138,31,16,2026-05-02
I2651,P3425,W7847,274,131,87,9,2026-04-03
I2652,P270,W2320,795,81,83,16,2025-10-26
I2653,P6125,W7002,926,134,64,10,2026-02-12
I2654,P7129,W3645,384,104,47,9,2025-08-18
I2655,P4857,W1709,669,143,69,10,2025-11-14
I2656,P684,W94,394,69,51,3,2026-03-28
I2657,P6502,W199,884,125,34,12,2025-11-05
I2658,P8815,W2862,538,45,59,9,2026-01-21
I2659,P5692,W2986,915,138,82,20,2025-09-23
I2660,P8125,W4130,543,123,71,5,2025-08-31
I2661,P6955,W1038,200,162,68,17,2026-03-21
I2662,P7385,W8997,899,51,95,20,2025-12-19
I2663,P6286,W3128,503,144,94,18,2026-04-21
I2664,P1720,W805,384,156,13,0,2026-01-18
I2665,P4224,W8603,533,156,97,7,2025-07-12
I2666,P6781,W843,470,38,35,14,2026-04-17
I2667,P496,W321,401,137,25,7,2026-04-30
I2668,P6624,W975,511,29,83,6,2025-07-02
I2669,P4575,W3168,695,84,8,14,2025-08-06
I2670,P6046,W7748,314,70,41,8,2025-10-03
I2671,P7420,W1885,886,30,19,16,2025-11-19
I2672,P7480,W7891,136,145,49,3,2025-06-16
I2673,P910,W8039,719,106,5,14,2026-05-18
I2674,P6382,W2305,69,176,46,10,2025-06-23
I2675,P6371,W404,408,191,63,19,2025-07-29
I2676,P1468,W8625,630,105,29,4,2025-08-06
I2677,P7619,W1040,294,151,66,17,2025-10-04
I2678,P1808,W3555,132,95,26,17,2025-07-22
I2679,P4862,W5487,450,24,28,9,2025-06-22
I2680,P6627,W1003,543,166,9,5,2026-01-19
I2681,P2350,W6153,291,118,37,9,2025-07-08
I2682,P9475,W579,368,181,24,7,2025-12-27
I2683,P5346,W5123,843,134,98,3,2025-09-15
I2684,P3367,W5713,454,26,77,1,2025-09-20
I2685,P9699,W8799,391,162,25,19,2025-09-08
I2686,P2563,W4444,657,149,62,15,2026-05-05
I2687,P7559,W2767,766,71,86,5,2025-08-25
I2688,P879,W1126,945,68,65,14,2025-06-05
I2689,P4266,W2543,838,100,30,16,2025-08-28
I2690,P174,W2667,924,59,72,13,2025-06-27
I2691,P6656,W4370,622,101,60,3,2025-12-26
I2692,P3600,W7908,18,146,42,19,2026-04-01
